Date	HOTC1	HOTC2	HOTC3	HOTC4	HOTC5	HOTC6	HOTC7	HOTC8	HOTC9	HOTC10	HOTC11	HOTC12
01.01.1986	0.8055	0.7835	0.7336	0.685	0.6511	0.64	0.6375	0.6345	0.638	0.656	0.656	0.672
02.01.1986	0.7522	0.7136	0.665	0.6311	0.62	0.6175	0.6145	0.618	0.618	0.656	0.656	0.672
03.01.1986	0.7494	0.7149	0.6731	0.6422	0.628	0.622	0.62	0.623	0.623	0.623	0.639	0.672
06.01.1986	0.7673	0.7349	0.693	0.659	0.642	0.635	0.6325	0.635	0.635	0.623	0.639	0.672
07.01.1986	0.7567	0.7257	0.6825	0.6465	0.63	0.623	0.621	0.623	0.623	0.623	0.639	0.672
08.01.1986	0.7454	0.7121	0.6693	0.634	0.619	0.615	0.616	0.616	0.616	0.623	0.639	0.672
09.01.1986	0.7336	0.6982	0.6551	0.628	0.613	0.609	0.61	0.61	0.61	0.623	0.639	0.672
10.01.1986	0.7253	0.6955	0.6574	0.6297	0.6122	0.614	0.6161	0.6164	0.6164	0.623	0.639	0.672
13.01.1986	0.6963	0.6755	0.6374	0.6097	0.596	0.596	0.5975	0.609	0.609	0.623	0.639	0.672
14.01.1986	0.6768	0.6539	0.6253	0.6068	0.596	0.5965	0.596	0.602	0.6025	0.623	0.639	0.672
15.01.1986	0.6875	0.6596	0.6287	0.6097	0.599	0.6	0.602	0.607	0.6075	0.623	0.639	0.672
16.01.1986	0.6555	0.6396	0.6087	0.5897	0.579	0.58	0.582	0.587	0.5925	0.623	0.639	0.672
17.01.1986	0.6389	0.6164	0.5947	0.5764	0.566	0.567	0.575	0.58	0.585	0.623	0.639	0.672
20.01.1986	0.59	0.5964	0.5747	0.5564	0.546	0.547	0.555	0.56	0.565	0.623	0.639	0.672
21.01.1986	0.5992	0.5812	0.5662	0.553	0.546	0.548	0.5625	0.565	0.57	0.623	0.639	0.672
22.01.1986	0.5961	0.573	0.5575	0.5422	0.538	0.538	0.545	0.5475	0.5525	0.623	0.639	0.672
23.01.1986	0.5844	0.5751	0.5612	0.5525	0.5546	0.555	0.5649	0.5674	0.5724	0.623	0.639	0.672
24.01.1986	0.5775	0.5611	0.5528	0.5409	0.5401	0.5418	0.5525	0.555	0.56	0.623	0.639	0.672
27.01.1986	0.6202	0.5811	0.5728	0.5609	0.5601	0.5618	0.5725	0.575	0.58	0.623	0.639	0.672
28.01.1986	0.6063	0.5825	0.5646	0.5504	0.55	0.5525	0.561	0.5635	0.5685	0.623	0.639	0.672
29.01.1986	0.5962	0.577	0.554	0.5372	0.5372	0.536	0.5455	0.548	0.553	0.623	0.639	0.672
30.01.1986	0.5935	0.5728	0.5545	0.5347	0.5331	0.534	0.546	0.547	0.552	0.623	0.639	0.672
31.01.1986	0.5783	0.5528	0.5345	0.5148	0.5148	0.5145	0.528	0.535	0.542	0.623	0.639	0.672
03.02.1986	0.5783	0.5086	0.5045	0.4848	0.4848	0.4845	0.498	0.505	0.512	0.623	0.639	0.672
04.02.1986	0.495	0.4597	0.4645	0.4449	0.4448	0.4445	0.458	0.465	0.472	0.623	0.639	0.672
05.02.1986	0.4956	0.4878	0.4785	0.472	0.471	0.478	0.485	0.492	0.5	0.623	0.639	0.672
06.02.1986	0.502	0.4872	0.4745	0.4662	0.4645	0.4708	0.4775	0.484	0.493	0.623	0.639	0.672
07.02.1986	0.5516	0.5072	0.4945	0.4862	0.4845	0.4908	0.4975	0.504	0.513	0.623	0.639	0.672
10.02.1986	0.5072	0.4772	0.4645	0.458	0.4562	0.4626	0.4693	0.4758	0.4848	0.623	0.639	0.672
11.02.1986	0.5142	0.4855	0.463	0.457	0.457	0.4616	0.4683	0.475	0.484	0.623	0.639	0.672
12.02.1986	0.5081	0.4781	0.461	0.4532	0.4525	0.458	0.467	0.4735	0.482	0.623	0.639	0.672
13.02.1986	0.5257	0.4956	0.476	0.467	0.4688	0.472	0.481	0.4875	0.496	0.623	0.639	0.672
14.02.1986	0.5256	0.49	0.4714	0.4545	0.455	0.458	0.467	0.4735	0.482	0.623	0.639	0.672
17.02.1986	0.5256	0.49	0.4714	0.4545	0.455	0.458	0.467	0.4735	0.482	0.623	0.639	0.672
18.02.1986	0.4988	0.47	0.4514	0.4345	0.435	0.438	0.447	0.4535	0.462	0.623	0.639	0.672
19.02.1986	0.5123	0.4771	0.4556	0.436	0.4355	0.4385	0.4475	0.454	0.4625	0.623	0.639	0.672
20.02.1986	0.5022	0.4575	0.4363	0.427	0.427	0.4275	0.445	0.45	0.4585	0.623	0.639	0.672
21.02.1986	0.5025	0.4375	0.4163	0.407	0.407	0.4105	0.425	0.43	0.4385	0.623	0.639	0.672
24.02.1986	0.5515	0.4675	0.4463	0.437	0.437	0.4405	0.455	0.46	0.4685	0.623	0.639	0.672
25.02.1986	0.5648	0.4912	0.4534	0.44	0.437	0.441	0.45	0.458	0.4665	0.623	0.639	0.672
26.02.1986	0.5666	0.4908	0.4419	0.4243	0.4236	0.4275	0.4365	0.4445	0.453	0.623	0.639	0.672
27.02.1986	0.5405	0.4708	0.4241	0.4136	0.4081	0.4135	0.423	0.4315	0.44	0.623	0.639	0.672
28.02.1986	0.53	0.4566	0.4142	0.4033	0.3974	0.4035	0.4125	0.421	0.43	0.623	0.639	0.672
03.03.1986	0.4172	0.3942	0.3833	0.3774	0.384	0.3932	0.4015	0.41	0.4175	0.623	0.639	0.672
04.03.1986	0.4248	0.389	0.3785	0.3782	0.3872	0.395	0.404	0.4125	0.42	0.623	0.639	0.672
05.03.1986	0.4401	0.3886	0.3706	0.3722	0.379	0.3865	0.3945	0.403	0.4105	0.623	0.639	0.672
06.03.1986	0.4806	0.4086	0.3906	0.3922	0.399	0.4065	0.4145	0.423	0.4305	0.623	0.639	0.672
07.03.1986	0.4533	0.3913	0.3712	0.3702	0.375	0.3815	0.389	0.3965	0.404	0.623	0.639	0.672
10.03.1986	0.4583	0.4087	0.3912	0.3902	0.395	0.4015	0.409	0.4165	0.424	0.623	0.639	0.672
11.03.1986	0.4757	0.4262	0.4054	0.4026	0.404	0.41	0.419	0.426	0.433	0.623	0.639	0.672
12.03.1986	0.5021	0.4462	0.4254	0.4226	0.424	0.43	0.439	0.446	0.453	0.623	0.639	0.672
13.03.1986	0.459	0.4162	0.3954	0.3926	0.394	0.4	0.409	0.416	0.4235	0.623	0.639	0.672
14.03.1986	0.462	0.4065	0.3906	0.3886	0.39	0.398	0.408	0.416	0.4235	0.623	0.639	0.672
17.03.1986	0.4945	0.4365	0.4206	0.4186	0.42	0.428	0.4375	0.4455	0.453	0.623	0.639	0.672
18.03.1986	0.5121	0.4435	0.4212	0.4182	0.4192	0.4265	0.436	0.443	0.45	0.623	0.639	0.672
19.03.1986	0.5262	0.4414	0.4119	0.4089	0.411	0.4165	0.4255	0.433	0.44	0.623	0.639	0.672
20.03.1986	0.5047	0.4351	0.4031	0.3987	0.3992	0.405	0.413	0.421	0.429	0.623	0.639	0.672
21.03.1986	0.5283	0.4551	0.4231	0.4187	0.4192	0.425	0.433	0.441	0.449	0.623	0.639	0.672
24.03.1986	0.4769	0.4251	0.3931	0.3887	0.3892	0.395	0.405	0.413	0.4225	0.623	0.639	0.672
25.03.1986	0.4823	0.4217	0.3981	0.3961	0.3975	0.403	0.411	0.419	0.427	0.623	0.639	0.672
26.03.1986	0.4659	0.3955	0.3805	0.38	0.3835	0.39	0.398	0.406	0.414	0.623	0.639	0.672
27.03.1986	0.4388	0.3777	0.3605	0.3608	0.365	0.373	0.381	0.389	0.397	0.623	0.639	0.672
28.03.1986	0.4388	0.3777	0.3605	0.3608	0.365	0.373	0.381	0.389	0.397	0.623	0.639	0.672
31.03.1986	0.4278	0.3516	0.3333	0.3337	0.338	0.346	0.3535	0.3605	0.368	0.623	0.639	0.672
01.04.1986	0.375	0.3746	0.3533	0.3537	0.358	0.366	0.3735	0.3805	0.388	0.623	0.639	0.672
02.04.1986	0.3825	0.3735	0.3624	0.3607	0.3655	0.3735	0.3815	0.3895	0.3975	0.623	0.639	0.672
03.04.1986	0.3805	0.3738	0.3617	0.3602	0.3652	0.3725	0.3802	0.3875	0.3955	0.623	0.639	0.672
04.04.1986	0.3992	0.3817	0.3792	0.3817	0.3885	0.396	0.4035	0.4115	0.4165	0.623	0.639	0.672
07.04.1986	0.4443	0.4117	0.4092	0.4117	0.4185	0.426	0.4335	0.4415	0.4465	0.623	0.639	0.672
08.04.1986	0.391	0.3728	0.37	0.3725	0.379	0.3865	0.394	0.402	0.407	0.623	0.639	0.672
09.04.1986	0.4061	0.3847	0.382	0.385	0.392	0.399	0.407	0.4155	0.4205	0.623	0.639	0.672
10.04.1986	0.4264	0.3989	0.3913	0.392	0.397	0.403	0.409	0.415	0.4205	0.623	0.639	0.672
11.04.1986	0.434	0.4006	0.3926	0.3933	0.3983	0.404	0.41	0.416	0.4215	0.623	0.639	0.672
14.04.1986	0.4165	0.3815	0.374	0.376	0.3825	0.3882	0.3942	0.4002	0.4057	0.623	0.639	0.672
15.04.1986	0.4078	0.3766	0.3676	0.3701	0.376	0.382	0.3978	0.3936	0.3989	0.623	0.639	0.672
16.04.1986	0.3877	0.3566	0.3502	0.3532	0.3602	0.3672	0.3752	0.3832	0.3882	0.623	0.639	0.672
17.04.1986	0.3884	0.3571	0.3512	0.3542	0.362	0.3692	0.3772	0.3852	0.3902	0.623	0.639	0.672
18.04.1986	0.398	0.3623	0.3553	0.36	0.3665	0.374	0.3815	0.3885	0.393	0.623	0.639	0.672
21.04.1986	0.4124	0.3757	0.3648	0.3682	0.3735	0.38	0.3865	0.3935	0.398	0.623	0.639	0.672
22.04.1986	0.4103	0.3789	0.3683	0.3698	0.3751	0.3811	0.3876	0.3948	0.3993	0.623	0.639	0.672
23.04.1986	0.435	0.3989	0.3866	0.3886	0.394	0.4	0.4073	0.4145	0.419	0.623	0.639	0.672
24.04.1986	0.4393	0.4016	0.3824	0.383	0.387	0.393	0.4	0.407	0.4115	0.623	0.639	0.672
25.04.1986	0.4558	0.4201	0.4024	0.4019	0.4055	0.4105	0.416	0.4215	0.4245	0.623	0.639	0.672
28.04.1986	0.4473	0.4188	0.4025	0.4	0.404	0.4095	0.416	0.4215	0.4245	0.623	0.639	0.672
29.04.1986	0.4406	0.4093	0.3922	0.3902	0.3952	0.401	0.4075	0.413	0.416	0.623	0.639	0.672
30.04.1986	0.4483	0.3988	0.3858	0.3863	0.3923	0.3983	0.4048	0.4108	0.4133	0.623	0.639	0.672
01.05.1986	0.39	0.4056	0.3879	0.3895	0.3975	0.403	0.41	0.4155	0.418	0.623	0.639	0.672
02.05.1986	0.3875	0.4305	0.4079	0.4075	0.413	0.419	0.4255	0.4315	0.434	0.623	0.639	0.672
05.05.1986	0.419	0.3994	0.3999	0.405	0.412	0.418	0.425	0.428	0.425	0.623	0.639	0.672
06.05.1986	0.4208	0.4065	0.4078	0.413	0.4195	0.425	0.43	0.4325	0.429	0.623	0.639	0.672
07.05.1986	0.4382	0.4265	0.4278	0.433	0.4381	0.444	0.449	0.4515	0.448	0.623	0.639	0.672
08.05.1986	0.4499	0.4402	0.4415	0.441	0.452	0.4569	0.462	0.464	0.4605	0.623	0.639	0.672
09.05.1986	0.4432	0.4374	0.4377	0.4432	0.4482	0.4532	0.4582	0.4602	0.4562	0.623	0.639	0.672
12.05.1986	0.4298	0.4256	0.4291	0.4346	0.4401	0.4461	0.4516	0.4531	0.4496	0.623	0.639	0.672
