Date	NGHenry	NNGC1	NNGC2	NNGC3	NNGC4	NNGC5	NNGC6	NNGC7	NNGC8	NNGC9	NNGC10	NNGC11	NNGC12
13.08.1990	1.38	1.465	1.58	1.86	2.175	2.29	2.06	1.78	1.7	1.68	1.68	1.69	1.7
14.08.1990	1.38	1.448	1.575	1.85	2.17	2.285	2.065	1.788	1.695	1.69	1.68	1.69	1.7
15.08.1990	1.38	1.428	1.54	1.82	2.153	2.272	2.06	1.78	1.69	1.69	1.68	1.69	1.7
16.08.1990	1.38	1.43	1.545	1.825	2.175	2.295	2.08	1.8	1.7	1.7	1.68	1.69	1.7
17.08.1990	1.38	1.44	1.565	1.854	2.203	2.32	2.11	1.83	1.715	1.715	1.68	1.69	1.7
20.08.1990	1.38	1.417	1.547	1.835	2.19	2.31	2.105	1.83	1.73	1.715	1.68	1.69	1.7
21.08.1990	1.38	1.42	1.557	1.853	2.213	2.325	2.13	1.855	1.73	1.715	1.68	1.69	1.7
22.08.1990	1.38	1.428	1.555	1.85	2.215	2.347	2.145	1.84	1.72	1.72	1.68	1.69	1.7
23.08.1990	1.38	1.545	1.875	2.255	2.395	2.21	1.88	1.775	1.76	1.76	1.68	1.69	1.7
24.08.1990	1.38	1.525	1.852	2.255	2.395	2.2	1.884	1.77	1.77	1.77	1.68	1.69	1.7
27.08.1990	1.38	1.502	1.805	2.215	2.355	2.165	1.83	1.72	1.72	1.73	1.68	1.69	1.7
28.08.1990	1.38	1.5	1.8	2.19	2.335	2.145	1.835	1.725	1.725	1.725	1.68	1.69	1.7
29.08.1990	1.4	1.505	1.775	2.152	2.291	2.083	1.785	1.68	1.67	1.67	1.68	1.69	1.7
30.08.1990	1.4	1.537	1.815	2.197	2.337	2.127	1.815	1.715	1.7	1.709	1.68	1.69	1.7
31.08.1990	1.4	1.5	1.81	2.2	2.36	2.155	1.83	1.734	1.71	1.73	1.68	1.69	1.7
03.09.1990	1.4	1.5	1.81	2.2	2.36	2.155	1.83	1.734	1.71	1.73	1.68	1.69	1.7
04.09.1990	1.4	1.51	1.83	2.22	2.385	2.175	1.84	1.73	1.72	1.715	1.68	1.69	1.7
05.09.1990	1.42	1.514	1.835	2.24	2.385	2.185	1.817	1.71	1.7	1.717	1.68	1.69	1.7
06.09.1990	1.42	1.53	1.845	2.25	2.4	2.202	1.825	1.725	1.72	1.73	1.68	1.69	1.7
07.09.1990	1.42	1.51	1.83	2.235	2.39	2.2	1.808	1.718	1.72	1.73	1.68	1.69	1.7
10.09.1990	1.42	1.525	1.82	2.23	2.38	2.205	1.8	1.726	1.728	1.718	1.68	1.69	1.7
11.09.1990	1.42	1.525	1.805	2.227	2.386	2.2	1.81	1.718	1.72	1.718	1.68	1.69	1.7
12.09.1990	1.45	1.543	1.805	2.225	2.385	2.198	1.8	1.7	1.71	1.71	1.68	1.69	1.7
13.09.1990	1.45	1.54	1.805	2.231	2.392	2.203	1.79	1.68	1.69	1.685	1.68	1.69	1.7
14.09.1990	1.45	1.52	1.805	2.24	2.4	2.21	1.782	1.66	1.66	1.66	1.68	1.69	1.7
17.09.1990	1.45	1.537	1.82	2.25	2.413	2.225	1.787	1.655	1.66	1.66	1.68	1.69	1.7
18.09.1990	1.45	1.56	1.843	2.25	2.405	2.226	1.785	1.665	1.66	1.668	1.68	1.69	1.7
19.09.1990	1.5	1.555	1.822	2.232	2.405	2.21	1.785	1.67	1.67	1.67	1.68	1.69	1.7
20.09.1990	1.5	1.846	2.246	2.42	2.23	1.795	1.67	1.67	1.67	1.67	1.68	1.69	1.7
21.09.1990	1.5	1.872	2.272	2.467	2.26	1.82	1.68	1.68	1.68	1.695	1.68	1.69	1.7
24.09.1990	1.5	1.936	2.34	2.54	2.346	1.883	1.74	1.735	1.735	1.76	1.68	1.69	1.7
25.09.1990	1.5	1.93	2.335	2.543	2.35	1.864	1.72	1.725	1.715	1.725	1.68	1.69	1.7
26.09.1990	1.58	1.945	2.365	2.585	2.37	1.88	1.725	1.725	1.725	1.73	1.68	1.69	1.7
27.09.1990	1.58	1.94	2.398	2.618	2.402	1.87	1.725	1.723	1.725	1.73	1.68	1.69	1.7
28.09.1990	1.58	1.935	2.49	2.685	2.485	1.88	1.72	1.72	1.72	1.73	1.68	1.69	1.7
01.10.1990	1.58	1.909	2.44	2.66	2.455	1.84	1.715	1.685	1.67	1.685	1.68	1.69	1.7
02.10.1990	1.58	1.88	2.355	2.575	2.385	1.815	1.69	1.66	1.667	1.683	1.68	1.69	1.7
03.10.1990	1.59	1.915	2.429	2.641	2.445	1.86	1.73	1.68	1.705	1.71	1.68	1.69	1.7
04.10.1990	1.59	1.898	2.468	2.689	2.47	1.89	1.73	1.685	1.69	1.73	1.68	1.69	1.7
05.10.1990	1.59	1.935	2.525	2.741	2.527	1.92	1.73	1.68	1.715	1.735	1.68	1.69	1.7
08.10.1990	1.59	1.93	2.55	2.81	2.6	1.94	1.745	1.725	1.755	1.775	1.68	1.69	1.7
09.10.1990	1.59	1.94	2.572	2.888	2.68	1.96	1.765	1.745	1.765	1.79	1.68	1.69	1.7
10.10.1990	1.68	1.94	2.525	2.807	2.675	1.935	1.74	1.72	1.74	1.765	1.68	1.69	1.7
11.10.1990	1.68	1.96	2.51	2.843	2.73	1.92	1.76	1.74	1.76	1.789	1.68	1.69	1.7
12.10.1990	1.68	1.95	2.506	2.805	2.683	1.895	1.725	1.71	1.72	1.73	1.68	1.69	1.7
15.10.1990	1.68	1.9	2.417	2.73	2.61	1.81	1.68	1.66	1.695	1.7	1.68	1.69	1.7
16.10.1990	1.68	1.91	2.435	2.78	2.655	1.853	1.72	1.7	1.715	1.72	1.68	1.69	1.7
17.10.1990	1.66	1.9	2.395	2.74	2.6	1.85	1.69	1.67	1.685	1.705	1.68	1.69	1.7
18.10.1990	1.66	1.89	2.404	2.73	2.61	1.9	1.75	1.735	1.765	1.79	1.68	1.69	1.7
19.10.1990	1.66	1.9	2.37	2.64	2.525	1.857	1.657	1.64	1.675	1.7	1.68	1.69	1.7
22.10.1990	1.66	1.97	2.37	2.572	2.468	1.83	1.62	1.6	1.63	1.65	1.68	1.69	1.7
